Locality,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
North America,,1,16.51061,15.57316,15.21221,15.84003,15.64556,15.39713,15.74306,16.26736,16.37593,16.04463,15.70532,15.78621,15.82039,15.87405,15.81188,16.14103,16.22374,16.19086,16.17518,16.50336,16.03263,15.99167,16.05957,NA,NA,NA,15.93544,15.35355,14.1657,14.404,14.10799
Bermuda,,9.6974,8.37118,8.85151,9.29215,9.01366,8.81971,8.92133,12.47242,13.55089,16.40115,11.37762,9.4342,7.64124,8.85924,8.59873,8.49222,8.56713,8.48576,8.41177,8.34072,8.2704,8.17266,8.12408,8.66772,9.28157,9.84555,9.67819,11.22069,11.13345,10.48889,10.43019,8.62277
Canada,,18.60054,17.75447,16.79528,16.13133,16.87116,17.10267,16.3265,16.76957,17.77489,17.99047,16.93331,16.56568,16.98995,16.7669,16.88751,17.1346,17.31778,17.98046,17.97942,18.37695,18.43347,17.90751,17.93751,18.72113,19.03129,18.82256,18.28049,17.90028,17.28987,16.27159,16.23014,16.20857
Greenland,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.0146,9.29094,9.32872,9.2829,9.39577,9.56573,9.68576,9.67158,9.86254,10.0996,10.16945,10.19238,10.30623,10.42523,10.67161,10.42658,11.14759,11.24774,17.3671,10.67457
Mexico,,3.51635,3.80899,3.93829,3.55474,3.71789,3.65645,3.41004,3.46567,3.38525,3.48789,3.55841,3.58202,3.55632,3.53014,3.68294,3.46008,3.52397,3.64357,3.81513,3.68481,3.83178,3.74878,3.69907,3.74052,3.60164,3.74571,3.89624,4.08709,4.11798,3.78668,3.85905,3.92377
Saint Pierre and Miquelon,,24.5576,24.51945,22.23747,24.37603,23.54279,20.57802,27.77706,35.66011,37.09328,42.10084,41.267,39.14101,36.51928,19.92168,20.36869,13.40412,13.39367,9.41103,10.88418,10.8791,11.90201,10.97458,11.0439,12.12719,13.22927,13.33118,13.95285,14.61311,15.14135,14.84191,15.52454,15.56646
United States,,21.0169,20.25038,19.03965,18.77136,19.58841,19.35652,19.21265,19.69083,20.41053,20.54929,20.19355,19.7552,19.85596,19.96162,19.99587,19.97591,20.43421,20.45645,20.36231,20.34947,20.78149,20.19359,20.16045,20.17416,20.40395,20.30052,19.8525,19.99828,19.2064,17.6998,18.03902,17.59741
Central & South America,,1,2.08654,2.01608,1.91619,1.96023,1.93005,2.03211,2.04147,2.03058,2.04439,2.00701,2.03199,2.0109,2.08391,2.12216,2.20449,2.28502,2.36453,2.39156,2.36702,2.36717,2.38785,2.33557,2.34292,NA,NA,NA,2.55407,2.63641,2.55981,2.77267,2.79546
Antarctica,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,,5.94316,5.31906,7.15048,4.38845,5.00807,4.79425,5.01134,6.07718,6.13858,6.27569,6.58786,6.47919,6.42595,6.65209,6.8676,6.9265,6.79138,6.92679,6.79916,6.68572,6.78053,6.67918,6.59742,6.90701,7.39117,7.95871,7.95271,7.56368,7.79643,7.78122,8.32592,6.67278
Argentina,,3.27237,3.12587,3.28846,3.29651,3.43425,3.17729,3.324,3.48172,3.47855,3.45419,3.10762,3.24887,3.23571,3.48338,3.34391,3.39605,3.64627,3.60965,3.72575,3.79381,3.70631,3.40475,3.18886,3.4996,3.6356,3.87593,3.97031,4.20731,4.21006,4.14192,4.55757,4.65912
Aruba,,--,--,--,--,--,--,1.80473,1.82385,7.07877,9.17808,9.42537,9.55312,9.87176,9.49991,9.63367,10.91431,6.90875,10.6046,10.45293,10.32938,10.64226,10.52731,10.39058,10.85076,10.77037,10.81185,11.47427,10.47241,10.55948,10.08921,10.08551,8.44798
"Bahamas, The",,19.02207,19.98432,16.67081,12.27903,10.92985,9.7546,10.43167,11.40621,10.28607,11.63527,12.19418,10.35129,8.75784,9.01609,10.25238,11.98909,13.30685,12.99221,14.656,12.97048,12.38918,11.98369,11.85426,14.36936,14.45515,16.56251,16.38789,15.43739,16.66055,11.71529,11.61905,11.62832
Barbados,,3.84208,4.0716,4.03003,4.23125,4.05897,4.45646,5.01528,4.71686,4.46331,4.78146,4.96294,4.97988,5.10179,5.10153,4.77133,4.99114,3.91022,5.34821,5.43988,5.55033,6.23282,5.99957,5.97255,6.05622,4.15166,5.45823,5.2921,4.86366,5.26249,5.30649,4.94272,5.03252
