Locality,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
North America,,749074.2115,780496.9084,758847.146,792369.9004,852428.7787,878999.8633,861930.3538,901396.0441,952524.1406,964217.3192,966992.0082,963371.9422,974367.7838,1008868.453,1019725.307,1032722.693,1079692.82,1106625.289,1117440.37,1118915.037,1168906.711,1144777.691,1152514.537,1182812.06,1190274.015,1213049.185,1197740.734,1212195.979,1200106.862,1069330.814,1122261.753,1071341.075,955748.1925
Bermuda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,,41321.24362,42807.15934,46094.25181,49178.51899,54498.27362,53685.87014,49777.07406,55780.26173,60763.81138,60336.11458,53849.01222,55937.32676,58421.39974,55048.32698,57251.84739,58457.77602,59333.01124,62955.81594,65680.12005,65292.49336,69616.47391,68336.69042,68618.88213,68554.94807,66222.45724,66432.9987,64905.19516,63615.49087,62483.4171,53942.70869,53908.53704,47431.35549,45887.01727
Greenland,,2.20462,2.20462,1.10231,1.10231,1.10231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,,5021.02824,5060.71145,5841.14789,6517.96707,6633.70976,7265.33417,7922.31174,8675.1904,8118.52316,8881.32262,8645.42799,8207.81038,8291.58605,9738.8415,11187.55861,12161.14095,14039.03747,14125.01776,14657.43415,14976.00213,15195.36209,16295.46883,17541.08066,19396.27068,16797.0205,20638.57558,20543.77681,20582.35771,17075.00138,17910.49827,19839.49906,20961.55281,20676.05417
Saint Pierre and Miquelon,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,,702729.735,732626.833,706910.644,736672.312,791295.693,818048.659,804230.968,836940.592,883641.806,894999.882,904497.568,899226.805,907654.798,944081.285,951285.901,962103.776,1006320.771,1029544.455,1037102.816,1038646.542,1084094.875,1060145.532,1066354.574,1094860.841,1107254.537,1125977.611,1112291.762,1127998.13,1120548.444,997477.607,1048513.717,1002948.167,889185.121
Central & South America,,19476.24337,19709.52001,20059.11806,22035.31431,24502.20446,28225.48154,28645.21414,28952.15274,31019.92351,31510.97566,26505.53079,31084.11661,30543.15731,31199.50028,32821.91488,32924.0147,35273.25692,37170.83853,37401.28223,36732.6852,36958.39116,34247.53614,33600.73202,36558.13419,38130.86795,39156.35923,40360.89894,41285.67204,43928.50761,38469.42084,46898.40999,51265.007,51540.73917
Antarctica,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,,1693.15025,1453.94868,1362.45684,1213.64481,977.75018,1186.08702,1373.47995,1804.4837,1829.83686,1809.99525,1166.24542,1471.82707,1413.16316,1355.84297,2141.79097,1849.67846,1641.34161,1518.98505,1489.22265,1085.85385,1131.80921,867.28755,1071.98677,790.01553,960.23445,829.64362,1147.83682,1513.4735,1507.11316,1548.25142,1600.06005,1828.77864,1615.98845
Aruba,,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bahamas, The",,0,31.96703,17.63698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbados,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,,1.10231,1.10231,1.10231,1.10231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,,10575.57518,10928.31482,11940.23665,12873.89437,15416.92667,18643.39202,18798.81793,19315.80195,19204.46851,19306.98346,16968.98107,19582.5613,18756.93009,18982.90392,19680.66701,20771.95526,21344.05485,21771.75166,21163.27579,22818.94745,24145.02802,23725.04739,22091.42196,22914.84854,24183.91756,23756.46326,23616.46972,24658.04373,24605.79417,19468.36185,25823.16479,27659.19663,27305.35469
Cayman Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,,2015.02517,1974.23964,1343.71755,1823.22299,2130.76786,2050.29913,2135.1771,2092.18696,2921.1251,3850.37358,4142.0121,3296.84021,2935.30083,2967.26786,3535.4322,3889.1088,5333.30203,6878.89688,6112.31649,6776.53624,5096.26099,3968.86103,4019.02722,3969.42321,5105.90622,5090.47386,6350.41574,6254.51465,8603.54016,7514.45654,9159.10509,10825.79986,11486.08437
Colombia,,4399.32464,4563.56903,4706.86951,5202.90962,5123.5432,5101.49697,5202.90962,4315.54897,5564.46774,5173.14721,3041.53057,5511.14894,6179.00633,6352.98413,6069.11691,5046.51368,5273.12685,5563.69612,5675.36027,4382.23881,4289.36908,3808.48575,3587.58255,4104.44532,3217.15082,4572.20013,4176.65774,3288.41525,3927.53537,5049.39071,4968.1173,5532.05979,6370.25735
Costa Rica,,1.10231,1.10231,1.10231,1.10231,1.10231,1.10231,1.10231,1.10231,1.10231,2.20462,2.20462,0.02205,0,0,0,0.27558,13.04034,0.35274,0.50706,0.46297,0.49604,0.70857,31.40485,80.54589,64.0002,58.4225,67.17485,137.78892,133.99697,116.38203,103.90387,107.87219,100.28829
Cuba,,174.16519,175.26751,169.75595,174.16519,184.086,151.01666,189.59755,202.82529,198.41604,253.53161,239.20157,125.66349,73.96509,92.70439,118.49847,108.46744,42.65945,33.73073,37.91951,40.12413,41.7776,28.3294,45.96638,26.29013,32.18749,45.42625,40.78552,44.57747,39.40763,30.46789,26.49957,26.88537,26.88537
Dominica,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,,0,0,0,7.71618,14.33005,246.91774,30.86472,255.73624,106.9242,11.02311,18.82858,214.06887,203.26621,237.43787,67.57169,87.96445,114.75061,116.51431,164.92783,257.49993,102.11812,223.31726,257.30152,1165.36357,856.6282,524.19314,892.79504,919.31665,957.51174,940.00703,897.95386,1089.05055,641.20349
Ecuador,,0,0,0,0,0,0,0,0,0,0,0,0.73083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,,1.10231,1.10231,1.10231,0,0,0,0,0,0,0,0,0.61509,0,1.10231,1.10231,1.10231,1.10231,1.10231,1.10231,1.10231,0.66139,1.10231,1.10231,1.10231,1.10231,1.10231,1.10231,0,0,0,0,0,0
Falkland Islands (Islas Malvinas),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Guiana,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
