Locality,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
North America,,874145.194,871907.4255,890151.017,837504.192,965756.6009,957447.7833,960490.0538,995083.9959,1036039.432,1066962.608,1112985.672,1082193.448,1077114.176,1029357.582,1123849.727,1125883.185,1158829.554,1188124.083,1212741.792,1191708.709,1162355.341,1217747.644,1179703.356,1150846.72,1195741.154,1215383.993,1248168.869,1236890.395,1259088.58,1155927.845,1173356.642,1186981.59,1106500.721
Bermuda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,,40441.59916,44189.45778,47296.8735,49391.26509,63274.87666,67078.95316,62884.65844,67469.17138,77870.58137,77742.71325,75323.13982,78411.81625,72327.05754,76093.65546,80274.72245,82652.40805,83614.72587,86722.75117,82825.47093,79894.81194,76239.16056,77553.1157,73312.5239,68513.06024,72749.24279,72030.53579,72756.95897,76460.72514,74680.4923,69377.27235,74842.53207,73980.52458,73299.29616
Greenland,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,,4003.59486,3942.96773,4742.14347,6021.92696,6560.95721,6730.71316,7290.68733,8852.66253,7903.57245,8491.1044,8587.00549,7797.75056,7242.18563,7839.63839,10070.71658,10257.0072,11359.31856,11469.5497,12381.16119,11382.4671,12504.62006,12505.72237,12107.78797,10581.08674,10893.04085,11855.35867,12662.25059,13794.32435,12599.41884,11627.18022,14145.96168,17373.52934,16743.00724
Saint Pierre and Miquelon,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,,829700,823775,838112,782091,895920.767,883638.117,890314.708,918762.162,950265.278,980728.79,1029075.527,995983.881,997544.933,945424.288,1033504.288,1032973.77,1063855.51,1089931.782,1117535.16,1100431.43,1073611.56,1127688.806,1094283.044,1071752.573,1112098.87,1131498.099,1162749.659,1146635.345,1171808.669,1074923.392,1084368.148,1095627.536,1016458.418
Central & South America,,12124.92891,13008.56926,13714.21388,14977.21467,17696.53412,20380.33159,22373.06251,24804.1551,28771.20833,32794.06608,32859.52794,32972.41455,34171.32145,34434.04083,37114.53026,40121.53865,43920.86749,49274.50386,52882.31933,50965.70742,58945.30629,63340.376,57977.77454,68522.0551,72914.92019,80606.441,88492.02373,90856.82331,94720.64509,91118.35771,91790.52513,104081.8369,110032.7199
Antarctica,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
