Locality,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
North America,,20207.81963,19232.51332,18357.55803,18036.2546,18636.01659,18724.25664,19328.27087,19840.75616,20557.59471,20790.27129,20318.857,20127.61099,20518.80768,20799.54683,21404.04099,21332.17151,21989.58426,22455.89428,22857.85016,23586.04468,23812.53797,23754.40735,23828.48091,24212.09488,25041.79657,25224.29582,25113.29616,25255.15159,23986.17886,23080.9914,23597.85841,23363.46134,23006.53163,23438.22875,NA
Bermuda,,3.8,3.3,3.5,3.7,3.6,3.52351,3.32537,4.69077,5.12514,6.24205,4.43468,3.92789,3.19421,3.63118,3.61992,3.60644,3.65773,3.66775,3.66775,3.66775,3.65773,3.63197,3.66775,3.9823,4.25041,4.50488,4.49951,6.28618,4.00843,4.50146,4.55079,4.57818,4.56567,4.6,NA
Canada,,1873,1768,1578,1448,1507,1514,1518,1592,1666,1739,1722,1662,1709,1734,1755,1799,1853,1940,1931,2016,2007.7167,2029.1359,2040.103,2154.6074,2232.7478,2296.4589,2293.8679,2389.4841,2316.7893,2229.8666,2325.6436,2356.6811,2402.8014,2374.4545,2395.1907
Greenland,,3.74367,3.51195,3.44022,2.4231,3.80184,3.4117,2.18575,1.59011,3.66833,3.17449,3.25612,3.25612,3.25612,3.35801,3.3988,3.3988,3.44377,3.52822,3.57877,3.57877,3.65473,3.77279,3.81367,3.83411,3.87499,3.93923,4.02227,5.62973,5.71927,5.02676,6.49608,6.9705,6.9705,7,NA
Mexico,,1270,1399,1476,1350,1395,1476,1523,1576,1598,1715,1599,1743,1769,1821,1923,1801,1820,1888,2002,2043,2095.9287,2068.7014,2019.1312,2015.6649,2069.226,2116.6745,2122.9249,2172.7896,2161.1153,2069.6126,2080.4375,2112.5559,2101.3773,2090.4458,2006.631
Saint Pierre and Miquelon,,1,1,0.9,1,1,0.90499,1.12961,1.42597,1.48977,1.70406,1.67305,1.58862,1.49669,0.8234,0.86337,0.57723,0.57566,0.39419,0.45844,0.45844,0.50087,0.45844,0.45844,0.49932,0.54164,0.55679,0.56356,0.584,0.5824,0.584,0.60444,0.6032,0.6032,0.6,NA
United States,,17056.27596,16057.70137,15295.71781,15231.13151,15725.61475,15726.41644,16280.63014,16665.04932,17283.31148,17325.15068,16988.49315,16713.83836,17032.86066,17236.73425,17718.1589,17724.58904,18308.9071,18620.30411,18917.14521,19519.33973,19701.07923,19648.70685,19761.30685,20033.50685,20731.15574,20802.16152,20687.41802,20680.37798,19497.96415,18771.39998,19180.12601,18882.07246,18490.21355,18961.12845,19105.6136
Central & South America,,3613.43,3557.17,3415.67,3232.33,3262.75298,3228.19266,3455.07423,3563.17755,3615.23143,3627.7408,3783.6997,3843.1794,3959.39077,4081.2706,4282.41965,4495.24882,4695.35031,4929.46546,5112.16743,5167.61838,5191.70533,5279.16539,5247.576,5232.40523,5486.73702,5612.49227,5776.02417,5918.85339,6141.65625,6215.73945,6480.9047,6700.92831,6963.31596,7085.22178,NA
Antarctica,,1,1,1,1,1.27,1.43068,1.28762,1.32849,1.36563,1.34893,1.36937,1.43068,1.42678,1.43068,1.43068,1.47156,1.46754,1.47156,1.47156,1.47156,1.46754,1.492,1.492,1.53288,1.52869,1.55332,1.55332,1.57375,1.56945,1.57375,1.57375,0.08536,0.08537,0.09068,NA
Antigua and Barbuda,,2.8,2.5,3.4,2,2.234,2.23036,2.23282,2.72153,2.79765,2.80532,2.93345,2.89296,2.88505,3.04008,3.18775,3.27447,3.26552,3.40205,3.40205,3.40205,3.49888,3.50973,3.5289,3.74027,4.03779,4.39866,4.47137,4.3703,4.47525,4.78868,4.9155,4.9155,4.90207,4.9,NA
Argentina,,499,483,468,477,463,415.09989,448.374,479.42447,474.99988,433.78247,412.99719,423.68304,455.18563,467.69145,471.23225,475.39814,488.55319,498.25969,541.56901,534.20299,530.92666,517.39381,477.29599,493.99246,544.78796,565.01017,622.30979,617.82814,676.55162,654.70254,709.11934,729.10468,741.94016,770,NA
Aruba,,--,--,--,--,--,--,0.68,0.68,2.50874,3.41649,3.55321,3.98188,4.29778,4.49468,4.97178,5.69241,3.76653,6.0086,6.08384,6.08384,6.51367,6.53151,6.53151,6.98335,7.0626,7.24591,7.74661,6.62261,6.62663,6.72502,6.81328,6.3586,6.34122,6.4,NA
"Bahamas, The",,27.6,29.1,24.9,18.5,16.8,15.3,15.18904,16.756,15.94739,18.09589,19.14342,17.16515,14.62553,15.5428,16.94247,19.60767,22.05464,21.99452,24.56164,22.29041,22.22257,21.84008,22.25622,26.59715,26.95549,30.7343,30.85775,29.38258,20.26392,22.83304,22.83304,22.83304,22.77066,23,NA
Barbados,,6.7,7,7.1,7.5,7.2,7.95061,8.42258,7.99272,7.24076,7.85053,8.16299,8.33832,8.44052,8.39604,8.13669,8.21426,7.9158,9.18597,9.48847,9.73847,10.82079,10.37063,10.37063,10.57063,7.10299,9.83068,9.29823,8.30251,7.71863,9.30128,8.77669,9.30128,9.27587,9,NA
