Locality,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
North America,,14754.231,14955.43863,15425.05022,15433.37364,15966.68455,16068.00034,15570.4058,15505.64298,15418.7707,14824.47765,14709.37586,15072.72177,15027.82823,14992.14411,14912.2043,14928.2361,15238.98329,15509.54498,15480.02825,14980.66102,15271.00572,15343.40023,15545.48181,15687.1556,15709.55871,15205.29404,15317.97893,15418.21566,15099.01545,15449.70508,16115.91849,16685.39049,17915.33397,19330.91292,21216.0636
Bermuda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,,1816.231,1662.74,1639.442,1691.612,1809.707,1848.344,1862.6219,1960.25673,2056.74362,2030.73459,2040.12428,2040.98815,2125.81493,2250.20475,2340.70405,2453.1321,2500.96536,2626.6722,2700.45618,2632.96211,2753.14455,2816.36185,2953.69968,3113.64521,3139.35779,3096.28485,3292.07788,3448.52323,3348.2467,3318.82898,3441.73001,3596.91367,3855.92354,4073.07129,4383.31512
Greenland,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,,2129,2554,3003,2954,3049.53766,3027.27825,2802.53733,2897.76744,2888.94511,2913.3321,2991.70622,3149.02361,3133.8483,3139.9889,3158.63464,3075.21086,3293.46875,3421.93305,3501.56659,3354.28521,3460.0852,3570.03017,3593.34925,3807.67752,3847.93316,3784.06672,3709.57777,3500.28969,3186.84252,3000.79117,2978.59944,2960.01107,2940.71656,2915.07451,2811.93204
Saint Pierre and Miquelon,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,,10809,10738.69863,10782.60822,10787.76164,11107.43989,11192.37808,10905.24658,10647.61881,10473.08197,9880.41096,9677.54536,9882.71,9768.165,9601.95046,9412.8656,9399.89315,9444.54918,9460.93973,9278.00548,8993.4137,9057.77596,8957.00822,8998.43288,8765.83288,8722.26776,8324.94247,8316.32329,8469.40274,8563.92623,9130.08493,9695.58904,10128.46575,11118.69387,12342.76712,14020.81644
Central & South America,,3848.4,3859.06,3680.99,3675.51,3887.17,3916.15,4139.76574,4073.2735,4317.83932,4368.13457,4703.19114,4953.3707,5046.89615,5296.22445,5672.56996,6120.67409,6526.08143,7021.48646,7116.51374,7003.72471,7313.03143,7217.85227,6928.45688,6684.53572,7025.77419,7242.68176,7295.70122,7270.56798,7510.4902,7726.45499,7891.9175,8064.49156,8004.19386,8120.30604,8408.38811
Antarctica,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,,508,513,507,504,498,485,471.05425,471.52318,492.12401,496.3969,520.80672,529.19218,597.28541,646.67954,712.92447,774.19884,821.32148,905.07695,916.88787,870.0217,831.74536,876.07288,865.5894,865.75903,825.08217,797.08576,802.28451,781.22503,801.04257,801.65766,788.83366,763.46743,722.722,707.43396,717.68126
Aruba,,--,--,--,--,--,--,0,0,0,0,-0.06823,0.03858,-0.02753,-0.02753,0,0,0,0,0,0,2.35606,2.36251,2.36251,2.36251,2.35606,2.35094,2.23502,2.47712,2.46486,2.81073,2.813,2.822,2.822,2.822,2.822
"Bahamas, The",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbados,,0,0,1,1,2,2,1.85393,1.21972,1.15633,0.95179,1.09747,1.04947,1.23329,1.13191,1.08796,1.12064,1.18265,0.81214,1.60741,1.94141,1.53,1.271,1,1,1.00223,1,1.03372,1.10849,1.101,0.766,1.001,1.001,1.001,1.001,1.001
Belize,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25731,2.9998,3.51066,3.9895,4.25168,4,3.23934,3,1.81776
Bolivia,,32,26,30,28,27,26,23.33858,23.57221,24.45063,25.46244,25.97264,25.99185,28.49921,30.25164,31.37783,35.36445,37.92114,38.51045,44.31708,41.80865,40.43515,44.85325,47.22013,42.92015,61.33813,62.66462,61.31639,61.82555,51.5574,45.9594,47.87201,49.25424,56.77737,64.02211,67.42639
Brazil,,244.5,283.06,348.19,459.51,614.37,734.35,739.97058,767.53431,750.79499,789.5309,821.11709,838.44905,823.52195,839.39919,957.17092,989.7745,1106.53982,1172.1578,1282.36318,1427.64817,1534.1069,1573.48551,1757.89225,1846.89884,1839.48343,2037.52243,2169.46364,2283.50454,2431.46922,2561.71301,2722.98781,2699.04967,2668.66135,2710.63315,2966.44205
Cayman Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,,46,52,54,50,50,47.6,44.20078,43.21763,37.71346,35.68429,35.31714,31.71697,29.37143,30.19462,29.09515,26.45705,25.70661,18.8471,18.43399,17.93834,16.36189,17.17186,17.14158,16.93329,15.75985,14.92858,12.89184,10.87226,12.79108,13.50188,18.57604,19.23377,18.43637,17.15936,15.3484
Colombia,,134,133,149,158,174,182,315.15478,396.01934,387.25101,416.66854,453.99815,429.77561,444.81074,467.31953,462.41693,597.05413,642.05354,665.34962,746.01957,830.19399,704.116,636.82415,588.27609,554.6763,541.95644,540.6865,548.35198,546.10839,603.67398,690.2767,805.7786,938.17199,968.52365,1027.94251,1015.78168
Costa Rica,,0,0,0,0,0,0,-0.17203,-0.14961,-0.10851,-0.22843,-0.17458,-0.15723,-0.22425,-0.25548,-0.13098,-0.32976,-0.29308,-0.31206,-0.02694,0,-0.00013,0.07138,0.47779,0.72921,1.02257,1.87715,1.85578,2.63658,2.30845,1.22606,0.39068,0.4,0.4,0.4,0.4
Cuba,,6,9,11,13,16,19,17.05005,16.87306,13.28355,12.83403,12.21765,11.95975,16.46466,19.41023,24.27039,25.99775,31.21102,33.17877,34.75753,40.82032,43.87799,51.46238,48.54399,56.27552,59.2131,53.45519,52.24967,51.63393,50.69913,46.34204,51.52764,53.753,50.8435,48.767,48.767
Dominica,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,,1,1,1,1,1,1,-0.15494,0.04351,0.03715,0.09047,-0.11591,-0.18446,-0.89136,-0.5117,-0.43783,-0.96174,-0.86759,-0.95509,-0.95518,-0.37135,-0.15427,-0.09473,-0.06702,0.01195,-0.44867,-0.38925,-0.30857,-0.39215,-0.26603,0.03457,0.0611,-0.104,-0.076,-0.076,-0.076
Ecuador,,207,214,214,240,261,284,294.55074,175.30169,303.46003,280.5218,286.47828,300.64211,323.94067,348.69134,370.0085,395.85926,397.66143,389.34998,376.68899,374.04179,396.31137,412.51131,392.71859,411.34177,529.00582,532.7553,536.37993,511.42215,505.26878,485.70685,488.88565,498.98002,503.3961,525.9164,556.16204
El Salvador,,0,0,0,0,0,0,0.00264,-0.04769,-0.05528,0.01508,-0.06151,-0.11051,-0.04311,-0.0171,0.03199,-0.05459,-0.14135,-0.31024,-0.49988,-0.58057,-0.59126,-0.6693,-0.27777,-0.10589,-0.20429,0.96612,5.30788,4.29737,4.18243,1.77155,-0.51666,-0.374,-0.311,-0.311,-0.311
