Locality,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
North America,,109.24,119.60946,144.29389,187.86691,227.29032,265.21215,340.15054,472.83005,666.47907,769.693,916.244,1004.71918,975.958
Bermuda,,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,,3.7,3.9,4,4,4,4.6,5.2,15.4,16.7,22.1,26.4,32.7,36.3
Greenland,,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,,0,0,0,0,0,0,0,0.1,0.1,0.103,0.4,0.4,0.1
Saint Pierre and Miquelon,,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,,105.54,115.70946,140.29389,183.86691,223.29032,260.61215,334.95054,457.33005,649.67907,747.49,889.444,971.61918,939.558
Central & South America,,185.1267,198.80565,221.35167,254.77137,256.97708,285.22176,330.53949,425.88543,533.67376,533.48639,588.06585,519.15204,532.76
Antarctica,,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,,0.1,0.2,0.2,0.2,0.2,0.2,0.7,3.9,14.1,23.5,38.1,50.34,52.2
Aruba,,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bahamas, The",,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbados,,0,0,0,0,0,0,0.0003,0.0003,0.001,0.001,0.001,0.001,0
Belize,,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,,183.8867,197.58565,216.93167,249.35137,251.71708,276.41776,307.30919,395.67613,486.34876,477.52839,527.13475,438.05804,449.2
Cayman Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,,0,0,0,0,0,0.5,4.6,4.8,5.8,11.3,12,15,17
Costa Rica,,0,0,0.8,1,1.34,2.06,2.11,2.9,2.4,1.2,0.5,0.4,0
Cuba,,1.1,1,1,1,1,0.8,0.5,0.4,0.3,0.3,0.3,0.5,0.35
Dominica,,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,,0,0,0,0,0,0,0,0.3,0,0,0.2,0.1,0.42
El Salvador,,0,0,0.3,0.4,0.35,1.54,5.78,4.74,4.555,2.15,0,0.003,0
Falkland Islands (Islas Malvinas),,0,0,0,0,0,0,0,0,0,0,0,0,0
French Guiana,,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada,,0,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe,,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,,0,0,0,0,0,0,1.3,2.9,2.9,3.01,3.01,4.01,8.02
Guyana,,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti,,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,,0,0,0,0,0,0.001,0.02,0.02,0.02,0.02,0.02,0.02,0
Jamaica,,NA,NA,1.9,2.6,1.97,2.2,5.2,4.852,6.423,6.9,2,3,0
Martinique,,0,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat,,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands Antilles,,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua,,0,0,0,0,0,0,0,0,0.9,1,0,0.2,0
Panama,,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,,0.04,0.02,0.02,0.02,0.1,0.6,0.8,1.1,1.7,2.2,2.3,2.22,2.3
Peru,,0,0,0.2,0.2,0.3,0.3,0.4,0.9,0.7,1.2,2.2,2.7,3.07
Puerto Rico,,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis,,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia,,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent/Grenadines,,0,0,0,0,0,0,0,0,0,0,0,0,0
Suriname,,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago,,0,0,0,0,0,0.573,1.78,3.167,4.26,2.797,0.0001,2.2,0
Turks and Caicos Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay,,0,0,0,0,0,0.03,0.04,0.06,0.05,0.14,0.3,0.4,0.2
Venezuela,,0,0,0,0,0,0,0,0,0,0,0,0,0
"Virgin Islands,  U.S.",,0,0,0,0,0,0,0,0.17,3.216,0.24,0,0,0
"Virgin Islands, British",,0,0,0,0,0,0,0,0,0,0,0,0,0
