Locality,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
North America,,554.52133,560.11265,598.7188,628.96424,643.32456,625.03803,638.14813,603.08562,569.54608,649.18942,687.08074,700.3753,682.17071,719.66245,700.4098,762.95194,823.15795,824.60079,771.81248,793.3038,765.13349,674.93903,746.12792,741.79062,747.03603,777.25571,798.51431,777.46362,825.91267,845.64004,853.80535,972.11173,949.56123
Bermuda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,,252.233,264.94,257.217,265.344,285.593,302.394,309.427,315.388,305.826,290.954,297.858,309.297,317.768,325.274,332.295,338.318,358.049,354.19,336.002,350.609,363.46,338.984,356.558,344.009,347.244,369.001,360.592,375.444,384.587,379.476,366.247,398.286,397.344
Greenland,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,,17.6,25.274,23.964,21.873,24.782,27.609,23.213,22.575,25.635,29.073,28.369,28.566,33.825,34.194,27.787,35.732,38.58,33.16269,31.815,39.712,40.401,36.319,32.605,28.444,34.075,37.783,39.176,37.041,48.59,36.512,47.327,46.336,43.857
Saint Pierre and Miquelon,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,,284.68833,269.89865,317.5378,341.74724,332.94955,295.03503,305.50813,265.12262,238.08508,329.16242,360.85374,362.5123,330.57771,360.19445,340.3278,388.90194,426.52895,437.2481,403.99548,402.9828,361.27249,299.63603,356.96492,369.33762,365.71703,370.47171,398.74631,364.97862,392.73567,429.65204,440.23135,527.48973,508.36023
Central & South America,,206.0008,208.6957,228.0789,247.046,270.6359,291.6463,315.3645,329.3148,342.5006,350.8871,370.88171,391.18206,400.72312,430.59803,455.76114,471.62963,492.54532,517.9026,526.74397,530.32717,560.56546,527.54005,553.78442,579.4525,603.42832,638.00681,668.82349,695.4972,702.42498,725.70002,736.74532,782.39079,775.73973
Antarctica,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.002,0.002,0.002,0.004,0.004,0.004,0.004
Antigua and Barbuda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
