Locality,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
North America,,2461.03116,2530.97829,2476.02366,2555.95065,2720.03044,2778.95321,2843.50512,2954.08832,3095.92219,3292.37613,3372.05213,3431.21766,3450.77132,3568.84921,3662.09172,3756.50517,3861.0298,3929.68057,4054.76567,4132.11968,4266.13885,4234.95252,4319.89078,4363.91886,4435.80887,4552.4756,4548.6856,4655.43921,4634.44683,4452.93286,4626.05709,4661.22345,4592.07395
Bermuda,,0.28923,0.2976,0.30783,0.32085,0.33294,0.3441,0.35991,0.38037,0.40083,0.40734,0.42873,0.44826,0.45198,0.45291,0.46035,0.4557,0.45942,0.46314,0.4743,0.5115,0.55335,0.59862,0.59799,0.58032,0.58326,0.60677,0.61975,0.62826,0.63705,0.64516,0.63836,0.62682,0.60171
Canada,,309.47962,319.06001,319.16629,331.64643,356.70817,372.37175,389.38914,405.23406,422.24069,434.63637,433.83189,439.86871,444.72182,455.0578,459.63914,466.69588,473.65062,482.4854,479.43417,490.03169,505.22352,505.60205,513.18264,528.23005,534.06312,547.75196,533.99634,561.51136,561.59693,523.77866,526.30191,543.731,524.836
Greenland,,0.14043,0.14322,0.14787,0.15345,0.15903,0.16182,0.16647,0.17019,0.17484,0.18321,0.19251,0.18786,0.18879,0.22041,0.2232,0.22506,0.22599,0.23994,0.24552,0.25761,0.2604,0.24831,0.27156,0.27063,0.27435,0.279,0.28365,0.30225,0.28861,0.28458,0.279,0.2976,0.29202
Mexico,,56.658,64.356,69.938,72.853,77.006,82.071,84.804,90.998,95.008,101.475,100.479,104.614,108.163,112.38031,120.843,125.129,132.892,144.60669,149.4782,157.56528,167.70656,171.35961,174.14457,172.76328,184.8968,192.81698,196.90321,202.72993,206.72823,204.38245,212.39641,233.93024,233.997
Saint Pierre and Miquelon,,0.01488,0.0186,0.02232,0.02232,0.0279,0.03069,0.03255,0.03348,0.03534,0.03906,0.0372,0.03906,0.03906,0.0372,0.03813,0.03627,0.03627,0.03627,0.0372,0.0372,0.03813,0.0372,0.04371,0.04557,0.04185,0.0372,0.0372,0.03627,0.03813,0.03813,0.03906,0.03906,0.03999
United States,,2094.449,2147.10286,2086.44135,2150.9546,2285.79639,2323.97385,2368.75305,2457.27222,2578.0625,2755.63515,2837.0828,2886.05977,2897.20667,3000.70058,3080.8879,3163.96326,3253.7655,3301.84913,3425.09628,3483.71639,3592.35688,3557.10672,3631.65031,3662.02901,3715.94949,3810.9837,3816.84545,3890.23114,3865.15789,3723.80388,3886.40235,3882.59873,3832.30723
Central & South America,,269.94613,279.91149,292.55417,310.10956,337.12462,349.94019,375.88106,385.14279,405.17004,413.0887,421.99357,437.36688,451.20127,475.96624,493.14027,524.82449,555.21731,582.69362,606.3534,623.60048,648.93271,644.76837,661.99787,697.80318,730.84786,763.57847,806.21874,843.19237,868.64092,875.11604,932.08993,978.05385,999.07835
Antarctica,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00186,0.00186,0.00186,0.00186,0.00372,0.00372,0.00372,0.00372
Antigua and Barbuda,,0.05208,0.05487,0.05766,0.06324,0.06603,0.06696,0.07533,0.07905,0.07998,0.08184,0.08277,0.08277,0.08277,0.08277,0.08463,0.08556,0.08556,0.08649,0.08835,0.08835,0.13113,0.14973,0.1674,0.18414,0.19344,0.21204,0.22599,0.24459,0.25203,0.28644,0.28458,0.2883,0.29295
Argentina,,36.845,35.594,36.003,35.484,37.739,37.373,39.01,42.152,42.22,39.924,37.105,39.655,45.292,48.407,49.934,54.938,57.928,62.78,67.908,70.43,73.23106,75.3974,72.47354,79.1129,83.65771,88.61302,97.92409,100.33261,104.95482,105.6051,111.0801,114.521,117.09
Aruba,,--,--,--,--,--,--,0.25482,0.27807,0.28644,0.31062,0.29574,0.29667,0.29853,0.46407,0.4929,0.53847,0.56079,0.59055,0.63798,0.64542,0.6789,0.7068,0.72075,0.73563,0.75609,0.79515,0.79422,0.8184,0.79887,0.83607,0.91512,0.9114,0.9207
"Bahamas, The",,0.74307,0.66402,0.70866,0.76167,0.75702,0.78678,0.79143,0.79329,0.79515,0.8091,0.83049,0.99231,1.01835,1.06392,1.11693,1.09647,1.12809,1.19226,1.29549,1.36152,1.45545,1.51218,1.59588,1.6833,1.66907,1.76179,1.79265,1.90205,1.65261,1.48335,1.52892,1.4787,1.71585
Barbados,,0.261,0.265,0.277,0.264,0.305,0.312,0.322,0.364,0.385,0.376,0.396,0.46,0.477,0.474,0.498,0.529,0.564,0.599,0.615,0.662,0.703,0.735,0.771,0.81,0.836,0.891,0.9134,0.9379,0.968,0.978,0.986,0.934,0.938
Belize,,0.08463,0.08556,0.08649,0.08835,0.09579,0.09951,0.1023,0.10695,0.11625,0.11997,0.13206,0.14694,0.15996,0.17484,0.16275,0.16926,0.17298,0.186,0.17875,0.18712,0.18993,0.29697,0.31996,0.34827,0.3703,0.39036,0.4001,0.42171,0.44668,0.56823,0.57423,0.57223,0.60503
Bolivia,,1.426,1.5,1.527,1.504,1.365,1.331,1.283,1.318,1.628,1.717,1.813,2.006,1.983,2.014,2.366,2.542,2.721,2.923,3.093,3.314,3.39614,3.37718,3.48538,3.60254,3.76486,4.194,4.53928,4.92211,4.872,5.124,5.77,6.015,6.456
Brazil,,121.7838,124.1572,131.69046,145.44532,161.9187,171.04538,186.48074,190.47542,200.76276,208.72774,212.64456,222.44502,228.10914,239.09412,247.99075,261.50987,277.74329,290.86791,302.90687,310.61948,321.99852,304.48298,318.97716,336.86862,353.29366,367.88328,382.53928,404.16758,419.60254,418.44774,455.72942,478.7522,483.5012
Cayman Islands,,0.05394,0.06138,0.07254,0.08277,0.09672,0.10881,0.11997,0.14043,0.15531,0.17019,0.19716,0.2046,0.20553,0.22041,0.24924,0.25947,0.26133,0.26226,0.26412,0.2883,0.37022,0.39498,0.41673,0.43059,0.45164,0.36642,0.45198,0.50778,0.53754,0.55558,0.55196,0.55242,0.54591
Chile,,10.41,10.75,10.551,10.771,11.62,12.076,12.926,13.257,14.277,15.501,18.341,18.224,19.224,19.666,21.258,25.635,28.059,30.687,31.643,34.86,38.14374,39.37382,41.3827,44.06254,47.22554,48.37876,50.92482,53.01022,53.5916,53.45744,53.93444,57.893,63.39
Colombia,,16.385,16.697,22.257,22.931,25.177,25.439,28.302,23.559,25.427,27.079,28.171,28.782,26.624,29.652,32.026,33.461,34.127,34.837,34.123,32.625,32.5797,33.87112,34.72002,35.40868,37.43262,37.77908,40.48212,42.20351,42.75746,46.3836,45.51182,50.252,49.3845
Costa Rica,,1.879,2.133,2.05,2.201,2.362,2.547,2.738,3.099,3.039,3.177,3.305,3.553,4.204,4.529,4.771,4.28,4.494,5.029,4.84,5.517,5.90046,6.129,6.26068,6.58258,6.84404,7.27274,7.80891,8.18535,8.31438,8.24194,8.53154,8.598,8.987
Cuba,,9.493,9.973,10.316,10.443,11.06,10.891,11.754,12.036,12.767,13.245,12.316,10.361,10.341,9.278,9.245,9.437,10.1,10.747,10.751,11.3231,11.82116,12.06946,12.39386,12.50338,12.3374,12.11686,12.86146,13.63007,13.86138,13.97112,13.63572,13.9571,14.447
Dominica,,0.01023,0.01116,0.01023,0.01674,0.02232,0.02232,0.02418,0.02511,0.02604,0.02697,0.02697,0.0279,0.0279,0.0279,0.03069,0.04092,0.03906,0.0465,0.05766,0.06603,0.06882,0.07254,0.06603,0.07068,0.07068,0.07347,0.07533,0.07626,0.07719,0.08231,0.08789,0.09068,0.08975
Dominican Republic,,2.514,2.961,2.35,2.344,3.18,3.174,3.526,3.085,3.272,2.379,2.59,2.713,2.412,3.706,3.234,3.627,4.734,4.802,5.175,6.461,5.78666,8.49562,8.72988,9.19538,7.9525,10.5234,11.45994,11.99174,9.957,9.8725,10.4855,11.203,11.899
Ecuador,,2.7,3.01,3.16,3.338,3.218,3.752,4.069,4.176,4.271,4.322,4.784,5.163,5.404,5.51,6.027,6.077,6.921,6.852,7.368,7.639,7.81482,8.04726,8.26422,8.60972,10.44844,10.47188,12.17881,13.8345,15.42304,15.91004,16.60504,18.02204,19.02
El Salvador,,1.433,1.477,1.541,1.396,1.591,1.517,1.566,1.646,1.69,1.745,1.664,1.61,1.729,2.028,2.422,2.801,2.894,3.134,3.244,3.441,4.062,3.927,3.803,4.01,4.0046,4.4624,4.91,5.299,5.267,5.266,5.404,5.406,5.665
Falkland Islands (Islas Malvinas),,0.00186,0.00279,0.00279,0.00279,0.00558,0.00744,0.00837,0.00837,0.01023,0.0093,0.0093,0.0093,0.0093,0.0093,0.0093,0.01023,0.01023,0.01023,0.01116,0.01116,0.01321,0.01414,0.01414,0.01418,0.01418,0.01418,0.01516,0.01516,0.01674,0.01674,0.01209,0.01116,0.01116
French Guiana,,0.09858,0.10788,0.11997,0.14322,0.15717,0.18042,0.19437,0.21669,0.24645,0.27342,0.30876,0.35433,0.38874,0.38967,0.38967,0.39339,0.39339,0.39525,0.39618,0.39804,0.39804,0.54405,0.56358,0.58683,0.60915,0.63333,0.65658,0.68169,0.71703,0.73656,0.76446,0.68355,0.558
Grenada,,0.019,0.021,0.02,0.022,0.02325,0.023,0.026,0.031,0.037,0.042,0.045,0.05,0.053,0.055,0.06,0.081,0.086,0.091,0.101,0.105,0.114,0.124,0.12902,0.13821,0.13,0.13131,0.15116,0.17167,0.17383,0.17739,0.1844,0.18,0.178
Guadeloupe,,0.2697,0.30039,0.3441,0.35712,0.40176,0.42966,0.50499,0.57195,0.6231,0.58497,0.68076,0.74865,0.81561,0.86741,0.91298,0.91484,1.01463,1.09089,1.09926,1.10205,1.11321,1.11786,1.0695,1.15785,1.37547,1.39965,1.45638,1.52427,1.52334,1.52334,1.5252,1.52985,1.5345
Guatemala,,1.752,1.499,1.427,1.429,1.375,1.431,1.616,1.71,1.798,1.957,2.256,2.458,2.461,2.545,2.722,2.99701,2.70729,2.56057,3.30813,4.16406,3.82958,4.24018,4.38308,6.22078,5.23142,6.533,7.267,7.71223,7.532,8.607,8.483,8.627,8.172
Guyana,,0.388,0.402,0.332,0.109,0.093,0.152,0.132,0.329,0.33,0.275,0.247,0.176,0.179,0.18,0.258,0.445,0.527,0.602,0.639,0.671,0.667,0.692,0.683,0.626,0.643,0.367,0.393,0.432,0.415,0.407,0.467,0.497,0.558
Haiti,,0.237,0.234,0.315,0.329,0.355,0.397,0.475,0.428,0.427,0.411,0.453,0.463,0.416,0.335,0.277,0.269,0.286,0.286,0.278,0.268,0.28416,0.28134,0.24778,0.2362,0.23578,0.32254,0.33006,0.22116,0.2087,0.31916,0.2174,0.266,0.452
Honduras,,0.76,0.844,0.841,0.813,0.839,0.994,1.342,1.296,1.835,1.789,1.982,1.947,1.731,1.697,1.43,1.551,2.185,2.378,2.648,2.514,3.13854,3.20974,3.4121,3.65646,3.94631,4.08807,4.2217,4.6988,4.924,4.8131,4.875,4.73567,5.036
Jamaica,,1.485,1.481,1.552,1.74,1.65,1.375,1.419,1.563,1.541,1.712,2.056,1.665,1.726,3.592,4.005,4.856,5.035,5.217,5.461,5.576,5.59972,5.70034,5.90646,6.10512,6.0641,6.13496,6.0981,4.941,2.963,3.085,3.114,3.143,3.008
Martinique,,0.23994,0.25947,0.29574,0.34131,0.35619,0.38502,0.41571,0.46686,0.5115,0.55893,0.59613,0.64542,0.69006,0.74493,0.78957,0.85281,0.89094,0.94209,0.95325,0.97185,0.97464,1.11879,1.14762,1.19598,1.23318,1.29177,1.3299,1.37268,1.41081,1.44894,1.51776,1.57821,1.63866
Montserrat,,0.01023,0.01116,0.01116,0.01116,0.01116,0.01116,0.01116,0.01209,0.01209,0.01302,0.01209,0.01302,0.01302,0.01395,0.01395,0.01488,0.01488,0.01581,0.01302,0.01302,0.01023,0.01023,0.01767,0.0186,0.0186,0.0186,0.0186,0.01953,0.02046,0.02046,0.02046,0.02232,0.02325
Netherlands Antilles,,0.893,0.902,1.039,1.066,0.982,0.944,0.804,0.538,0.546,0.581,0.631,0.641,0.692,0.745,0.8,0.83,0.869,0.868,0.919,0.917,0.94,0.896,0.849,0.951,0.973,1.003,0.98,1.00964,0.99848,1.07212,1.092,1.094,1.1
Nicaragua,,0.901,0.956,0.994,1.091,1.108,1.063,0.935,1.207,1.161,1.289,1.306,1.122,1.183,1.163,1.133,1.185,1.275,1.423,1.456,1.563,1.558,1.612,1.938,1.805,2.011,2.19943,2.29839,2.28227,2.40142,2.689,2.908,3.059,3.556
Panama,,1.507,1.69,1.821,1.967,1.944,2.049,2.226,2.34,2.272,2.104,2.214,2.34,2.295,2.528,2.561,2.88,3.351,3.172,2.77,3.429,3.782,3.754,3.953,4.177,4.579,4.68371,4.82532,5.17545,5.47072,5.83637,6.188,6.626,7.144
Paraguay,,0.721,0.815,0.832,0.861,1.032,1.386,1.846,2.683,2.83,2.76,2.345,2.576,2.521,2.574,2.753,3.263,3.967,3.549,3.822,3.947,4.183,4.284,4.406,4.20633,4.21,4.499,4.88263,5.352,5.69808,6.237,6.778,7.497,8.125
Peru,,8.65744,9.3534,10.10706,9.68822,10.45504,10.74408,11.40754,12.09052,11.5199,11.58286,11.307,12.31,10.535,11.808,11.231,13.429,14.056,14.653,15.767,16.339,17.25005,18.18605,19.30205,20.17105,21.48805,22.95105,24.17505,26.60005,29.39505,29.21505,31.03505,35.71905,35.688
Puerto Rico,,12.36993,12.14394,10.33602,10.53318,10.95819,10.77498,11.26137,12.03792,12.60336,12.52245,13.24908,13.82033,14.36463,15.04621,15.65603,16.18863,16.62746,17.4311,17.86751,18.69667,20.28609,20.74086,21.55275,22.26141,22.44555,23.21492,22.16841,20.74365,19.45653,19.25937,19.42584,18.61395,18.62418
Saint Kitts and Nevis,,0.03162,0.03162,0.03255,0.03069,0.03069,0.03069,0.03069,0.03162,0.03255,0.03255,0.05673,0.07347,0.07347,0.06045,0.0651,0.07068,0.07161,0.07905,0.08091,0.08556,0.08742,0.08742,0.09579,0.11067,0.11346,0.11625,0.11811,0.11997,0.12183,0.12369,0.12555,0.12834,0.1302
Saint Lucia,,0.05022,0.05394,0.05301,0.05952,0.05952,0.06324,0.0651,0.06975,0.09021,0.09021,0.09114,0.09207,0.13299,0.14899,0.15795,0.17185,0.17312,0.18633,0.20621,0.22397,0.24193,0.25049,0.24977,0.26137,0.26973,0.2829,0.28915,0.30221,0.30801,0.31733,0.33294,0.33666,0.33638
Saint Vincent/Grenadines,,0.02418,0.02511,0.0279,0.0279,0.03162,0.03534,0.0372,0.03999,0.04371,0.04464,0.04557,0.04743,0.05115,0.0558,0.05673,0.06417,0.06789,0.07068,0.07533,0.07533,0.0837,0.08742,0.09021,0.09579,0.10602,0.11703,0.11807,0.1244,0.12273,0.12276,0.12648,0.12555,0.12741
Suriname,,1.446,1.254,1.231,1.003,1.041,1.116,1.105,0.623,0.822,1.251,1.41,1.564,1.607,1.63,1.65,1.474,1.289,1.295,1.303,1.32,1.276,1.293,1.339,1.358,1.374,1.381,1.425,1.423,1.409,1.409,1.426,1.499,1.572
Trinidad and Tobago,,1.706,1.964,2.378,2.42,2.47,2.446,2.799,2.949,2.981,2.883,3.065,3.035,3.285,3.275,3.369,3.636,3.82,4.289,4.442,4.505,4.734,4.879,4.879,5.74,5.678,6.247,6.468,6.963,7.044,7.083,7.731,8.023,8.365
Turks and Caicos Islands,,0.00465,0.00465,0.00465,0.00465,0.00465,0.00465,0.00465,0.00465,0.00465,0.0093,0.01767,0.02139,0.02418,0.0279,0.03162,0.03441,0.03348,0.04464,0.0465,0.0558,0.06603,0.06975,0.08928,0.09579,0.1023,0.11532,0.13857,0.15903,0.17298,0.18228,0.17763,0.17205,0.1674
Uruguay,,2.745,3.119,2.888,2.999,3.144,3.145,3.282,3.464,3.722,3.601,5.091,4.107,4.201,4.54,4.733,5.04,5.112,5.591,6.343,6.201,6.474,6.642,6.147,6.033,6.228,6.514,7.251,7.9158,8.41932,8.71868,9.275,9.318,9.559
Venezuela,,26.837,32.284,32.123,35.139,37.229,39.397,39.753,42.965,47.087,46.132,46.928,49.451,53.23,54.594,55.203,56.17,57.842,59.848,61.171,59.932,62.506,64.959,64.04,65.413,69.503,72.298,78.014,79.89276,83.55364,83.766,91.853,94.33,97.688
