Locality,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
North America,,2721.47979,2751.93983,2703.66725,2793.36457,2933.73382,3014.68939,3045.48488,3164.71929,3309.11612,3570.89808,3624.26034,3691.22389,3716.6902,3848.3544,3930.68539,4046.74036,4159.04062,4218.85087,4341.1865,4442.70681,4585.4676,4511.02995,4648.01785,4658.96138,4774.41555,4894.04471,4895.06715,5014.61192,4983.85772,4793.88703,4969.23576,5007.88773,4943.71123
Bermuda,,0.311,0.32,0.331,0.345,0.358,0.37,0.387,0.409,0.431,0.438,0.461,0.482,0.486,0.487,0.495,0.49,0.494,0.498,0.51,0.55,0.595,0.64368,0.643,0.624,0.62716,0.65244,0.6664,0.67555,0.685,0.69372,0.68641,0.674,0.647
Canada,,367.797,380.221,378.43,397.358,426.983,447.978,457.504,484.205,491.187,485.346,468.893,494.45,505.844,518.402,540.119,544.481,557.589,557.9599,546.054,563.105,588.325,572.26304,583.84104,572.28516,582.3085,606.268,592.569,612.9,614.593,594.981,585.804,626.606,616.211
Greenland,,0.151,0.154,0.159,0.165,0.171,0.174,0.179,0.183,0.188,0.197,0.207,0.202,0.203,0.237,0.24,0.242,0.243,0.258,0.264,0.277,0.28,0.267,0.292,0.291,0.295,0.3,0.305,0.325,0.31033,0.306,0.3,0.32,0.314
Mexico,,63.604,73.251,80.351,82.027,86.726,93.132,96.909,104.599,109.861,117.729,116.832,122.249,126.233,131.99731,142.268,148.001,156.488,167.92369,174.023,183.925,194.12156,201.17258,204.74256,202.52702,220.58462,231.36152,236.78452,243.9274,248.84138,247.53372,257.344,280.106,278.73
Saint Pierre and Miquelon,,0.016,0.02,0.024,0.024,0.03,0.033,0.035,0.036,0.038,0.042,0.04,0.042,0.042,0.04,0.041,0.039,0.039,0.039,0.04,0.04,0.041,0.04,0.047,0.049,0.045,0.04,0.04,0.039,0.041,0.041,0.042,0.042,0.043
United States,,2289.60079,2297.97383,2244.37225,2313.44557,2419.46582,2473.00239,2490.47088,2575.28729,2707.41112,2967.14608,3037.82734,3073.79889,3083.8822,3197.19109,3247.52239,3353.48736,3444.18762,3492.17228,3620.2955,3694.80981,3802.10504,3736.64365,3858.45225,3883.1852,3970.55526,4055.42275,4064.70223,4156.74497,4119.387,3950.33159,4125.05935,4100.13973,4047.76623
Central & South America,,308.43524,316.0276,334.91952,355.89354,383.23474,403.49746,435.35928,451.57134,473.11016,484.2146,495.93388,518.53159,533.23499,565.81275,590.01373,628.55449,660.98473,698.13496,723.7813,746.29161,781.78297,768.24881,792.62576,833.73406,878.31745,912.35473,959.64952,1002.92735,1033.69781,1043.14036,1098.61166,1147.53579,1177.00034
Antarctica,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.002,0.002,0.002,0.004,0.004,0.004,0.004
Antigua and Barbuda,,0.056,0.059,0.062,0.068,0.071,0.072,0.081,0.085,0.086,0.088,0.089,0.089,0.089,0.089,0.091,0.092,0.092,0.093,0.095,0.095,0.141,0.161,0.18,0.198,0.208,0.228,0.243,0.263,0.271,0.308,0.306,0.31,0.315
Argentina,,41.858,40.495,41.086,41.641,44.023,43.693,47.192,50.178,49.243,48.01,45.561,48.721,53.439,58.909,60.305,64.671,66.74,69.55,71.231,76.942,85.19606,86.4854,81.13054,88.1269,95.63371,100.69202,111.27409,110.6431,115.74582,117.4291,119.2971,123.56,127.922
Aruba,,--,--,--,--,--,--,0.274,0.299,0.308,0.334,0.318,0.319,0.321,0.499,0.53,0.579,0.603,0.635,0.686,0.694,0.73,0.76,0.775,0.791,0.813,0.855,0.854,0.88,0.859,0.899,0.984,0.98,0.99
"Bahamas, The",,0.799,0.714,0.762,0.819,0.814,0.846,0.851,0.853,0.855,0.87,0.893,1.067,1.095,1.144,1.201,1.179,1.213,1.282,1.393,1.464,1.565,1.626,1.716,1.81,1.7947,1.8944,1.92758,2.04521,1.777,1.595,1.644,1.59,1.845
Barbados,,0.311,0.327,0.332,0.353,0.36,0.367,0.38,0.4,0.423,0.415,0.44,0.499,0.509,0.518,0.542,0.579,0.611,0.65,0.672,0.718,0.758,0.796,0.828,0.868,0.896,0.953,0.9764,1.0029,1.011,1.023,1.037,1.002,0.981
Belize,,0.091,0.092,0.093,0.095,0.103,0.107,0.11,0.115,0.125,0.129,0.142,0.158,0.172,0.188,0.175,0.182,0.186,0.2,0.1922,0.2012,0.20423,0.17497,0.17496,0.19927,0.1823,0.19036,0.2481,0.25371,0.25568,0.40723,0.47123,0.45223,0.42303
Bolivia,,1.568,1.655,1.658,1.667,1.519,1.512,1.518,1.532,1.881,1.996,2.122,2.315,2.308,2.379,2.705,2.879,3.096,3.319,3.532,3.747,3.77514,3.85118,4.04638,4.17454,4.36286,4.694,5.08028,5.51211,5.564,5.848,6.56,6.818,7.333
Brazil,,138.3018,140.1522,150.02646,160.45232,178.0967,190.67138,199.24174,200.44982,211.77926,218.29374,219.95256,231.43902,238.84014,249.25112,256.89575,272.19787,287.65529,304.27491,317.81987,329.68948,342.57352,323.16798,340.29716,358.89562,381.18166,395.72128,411.92528,437.18658,454.47154,458.57574,506.82742,530.3902,537.6132
Cayman Islands,,0.058,0.066,0.078,0.089,0.104,0.117,0.129,0.151,0.167,0.183,0.212,0.22,0.221,0.237,0.268,0.279,0.281,0.282,0.284,0.31,0.39809,0.42471,0.4481,0.463,0.48563,0.394,0.486,0.546,0.578,0.5974,0.5935,0.594,0.587
Chile,,11.852,12.083,12.001,12.601,13.439,14.004,14.874,15.563,16.783,17.527,20.285,20.453,21.596,22.546,24.028,28.562,30.747,33.206,34.546,36.845,39.87774,41.15382,42.2807,45.21154,49.35654,50.76676,53.54382,56.31756,57.5186,58.51344,57.94344,61.848,66.889
Colombia,,19.663,19.968,25.872,26.729,29.312,29.642,32.984,30.637,32.998,34.377,35.651,36.374,32.771,37.584,40.864,42.702,43.709,44.92,44.712,43.159,42.1707,42.45512,44.06702,45.58668,48.77062,49.34008,52.72912,54.1888,54.95146,55.8466,55.43682,59.217,57.811
Costa Rica,,2.142,2.337,2.442,2.886,3.035,2.804,2.926,3.05,3.109,3.315,3.429,3.825,4.57,4.854,5.154,4.779,4.749,5.575,5.256,6.118,6.84846,6.878,7.41868,7.28558,7.96304,8.15674,8.58502,8.92968,9.35738,9.21094,9.47254,9.695,10.053
Cuba,,10.259,10.806,11.37,11.861,12.558,12.469,13.488,13.881,14.873,15.53,14.493,12.413,12.168,11.215,11.472,11.886,12.676,13.461,13.359,13.8381,14.19216,14.44146,14.81986,14.91238,14.7484,14.45086,15.51046,16.60007,16.66938,16.72012,16.40372,16.7441,17.366
Dominica,,0.011,0.012,0.011,0.018,0.024,0.024,0.026,0.027,0.028,0.029,0.029,0.03,0.03,0.03,0.033,0.044,0.042,0.05,0.062,0.071,0.074,0.078,0.071,0.076,0.076,0.079,0.081,0.082,0.083,0.0885,0.0945,0.0975,0.0965
Dominican Republic,,3.211,3.647,3.28,3.483,4.134,4.267,4.654,4.526,4.295,3.286,3.497,3.69,3.958,5.189,4.806,5.181,6.263,6.838,7.27,8.564,8.06666,9.73262,11.81588,12.54338,11.1875,11.9804,13.05994,13.64974,11.676,11.5585,12.2965,13.086,13.911
Ecuador,,3.186,3.535,3.904,4.117,4.113,4.706,5.197,5.257,5.504,5.636,6.215,6.807,7.001,7.25,8.008,8.181,9.097,9.389,9.883,10.048,10.35582,10.74026,11.55122,11.21172,13.08944,12.16188,14.12804,16.58504,18.57904,18.15404,19.03204,20.09004,22.106
El Salvador,,1.637,1.669,1.756,1.61,1.811,1.76,1.731,1.922,2.005,2.061,2.025,1.926,2.026,2.408,2.833,3.263,3.334,3.526,3.712,3.689,3.726,3.79,3.973,4.265,4.3496,4.7134,5.598,5.724,5.988,5.848,6.088,6.001,6.18
