Locality,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
North America,,91.60005,89.82132,86.64252,86.225,90.60319,90.96345,91.24173,94.12098,98.32292,100.7974,100.14338,100.54434,102.33429,104.28843,106.48092,108.52215,112.07237,112.91284,113.32483,115.69361,118.23279,115.33454,117.05566,117.84467,120.42411,120.82182,120.30507,122.2118,120.10487,114.63112,117.79708,118.64908,116.19085
Bermuda,,0.00793,0.00686,0.00727,0.00771,0.00752,0.00741,0.007,0.00988,0.0108,0.01315,0.00928,0.00805,0.00647,0.00695,0.00743,0.00739,0.0075,0.00752,0.00752,0.00752,0.0075,0.00744,0.00752,0.00814,0.00869,0.00928,0.00922,0.01229,0.00849,0.00955,0.00967,0.00972,0.00976
Canada,,9.79686,9.58952,9.20637,9.18989,9.78461,10.15233,10.25423,10.5858,11.05397,11.20107,10.98094,11.11813,11.46111,11.70439,12.0236,12.21439,12.55314,12.64884,12.34528,12.96829,13.02112,12.82402,13.04839,13.43112,13.77334,13.81192,13.71533,13.70388,13.51609,13.05915,12.98393,13.39909,13.35355
Greenland,,0.00791,0.00746,0.00722,0.00505,0.00799,0.00714,0.00462,0.00335,0.00777,0.00671,0.00787,0.00779,0.00687,0.00708,0.00719,0.00719,0.00728,0.00746,0.00756,0.00756,0.00772,0.00796,0.00805,0.00809,0.00813,0.00829,0.00846,0.01188,0.01211,0.0106,0.01373,0.01475,0.01481
Mexico,,3.71845,4.10949,4.32049,4.04957,4.16918,4.40226,4.32653,4.46445,4.53802,4.78677,4.65663,4.96898,5.07372,5.14468,5.34952,5.26286,5.48104,5.64601,5.94557,6.05728,6.38095,6.32601,6.34559,6.45289,6.47201,6.70965,6.94211,7.16516,7.27489,6.95439,7.29285,7.76281,7.75362
Saint Pierre and Miquelon,,0.0022,0.00221,0.00203,0.00221,0.00216,0.00191,0.0024,0.00306,0.00319,0.00365,0.00359,0.00341,0.00318,0.00174,0.00183,0.00122,0.00121,0.00083,0.00096,0.00096,0.00105,0.00096,0.00096,0.00105,0.00113,0.00117,0.00118,0.00122,0.00122,0.00122,0.00127,0.00126,0.00126
United States,,78.0667,76.1058,73.09914,72.97058,76.63172,76.39239,76.64696,79.05443,82.70916,84.78605,84.48507,84.43798,85.78295,87.42359,89.09135,91.0291,94.0222,94.60218,95.01793,96.65199,98.81445,96.16815,97.64515,97.94337,100.1608,100.28152,99.62877,101.31737,99.29207,94.5962,97.49562,97.46145,95.05785
Central & South America,,11.53629,11.48945,11.48072,11.34348,12.09337,12.31984,13.09361,13.37543,13.72359,14.18125,14.51948,15.11979,15.33466,13.95797,16.87265,17.61928,18.53652,19.46432,20.13386,20.29961,20.81142,21.11195,21.10503,21.5194,22.49552,23.38731,24.40117,24.77252,25.73232,25.55458,27.12791,27.95354,28.67436
Antarctica,,0.00213,0.00213,0.00212,0.00213,0.0027,0.00304,0.00275,0.00283,0.00291,0.00288,0.00292,0.00305,0.00304,0.00304,0.00305,0.00314,0.00313,0.00314,0.00314,0.00314,0.00313,0.00318,0.00318,0.00327,0.00325,0.00332,0.00332,0.00337,0.00337,0.00339,0.00339,0.00023,0.00024
Antigua and Barbuda,,0.00598,0.00531,0.00711,0.00415,0.0047,0.00461,0.00462,0.00564,0.0058,0.00582,0.00608,0.006,0.00598,0.00588,0.00661,0.00679,0.00677,0.00705,0.00705,0.00705,0.00725,0.00727,0.00732,0.00776,0.00836,0.0091,0.00927,0.00906,0.0093,0.00994,0.01018,0.01019,0.00933
