Locality,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
North America,,83.17578,83.79792,84.47328,82.14801,88.08493,87.56627,86.11253,87.49605,89.71786,90.0587,91.76998,92.29707,92.39469,91.77086,95.21815,96.09661,98.49827,99.04464,99.65861,98.51725,98.83619,99.34387,98.71955,98.3025,98.90128,98.33195,100.0274,100.71749,101.44317,99.60828,101.98691,105.68473,107.0641
Bermuda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,,10.27567,10.09397,10.09746,10.3579,11.33985,12.01997,11.92503,12.56707,13.41195,13.32737,13.40615,13.95945,14.4636,15.37952,16.34096,16.83307,17.22615,17.47867,17.43772,17.68126,18.12827,18.02149,18.35776,18.26863,18.66216,18.8695,19.22021,19.53685,19.03963,18.3197,18.36373,18.83157,19.13864
Greenland,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,,5.72474,6.75331,7.8072,7.67598,7.9055,7.84801,7.12104,7.38652,7.38719,7.41127,7.65919,7.97524,7.97549,8.07602,8.15155,8.08957,8.78602,9.09402,9.34467,9.09376,9.37574,9.58779,9.64878,10.09479,10.00547,10.02847,10.05614,9.7584,9.17071,8.61618,8.83037,8.86665,8.71311
Saint Pierre and Miquelon,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,,67.17537,66.95064,66.56862,64.11413,68.83957,67.6983,67.06646,67.54247,68.91872,69.32006,70.70463,70.36238,69.95561,68.31532,70.72565,71.17397,72.48609,72.47195,72.87622,71.74223,71.33218,71.73459,70.71302,69.93907,70.23365,69.43398,70.75104,71.42223,73.23283,72.6724,74.79281,77.98651,79.21235
Central & South America,,12.06557,12.25942,12.09578,12.33331,13.29093,13.61015,14.44979,14.33916,15.2274,15.82661,16.69082,17.57595,17.86501,18.78069,19.76945,21.09872,22.46373,24.09229,24.73255,24.45398,25.97663,25.91874,25.24504,25.59418,27.03689,28.02525,28.9867,29.06036,29.65514,29.51958,30.27651,31.69831,31.78666
Antarctica,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00002,0.00002,0.00002,0.00002,0.00004,0.00004,0.00004,0.00004
Antigua and Barbuda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,,1.59757,1.6708,1.7293,1.78501,1.85245,1.83444,1.84348,1.83397,1.90555,1.98481,2.01466,2.10401,2.28036,2.47743,2.68689,2.91098,3.02718,3.28326,3.37629,3.40713,3.49153,3.65955,3.57399,3.74148,3.75481,3.74627,3.8218,3.66275,3.64272,3.55119,3.42872,3.26249,3.11505
Aruba,,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00029,0.00098,0.00087,0.00086
"Bahamas, The",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbados,,0.00037,0.00037,0.00251,0.00256,0.00472,0.0047,0.0047,0.00322,0.00374,0.0034,0.00371,0.0034,0.00371,0.00383,0.00345,0.00375,0.00322,0.003,0.00451,0.00523,0.00436,0.0038,0.00322,0.00322,0.00323,0.00322,0.00329,0.00341,0.00355,0.00238,0.00288,0.00288,0.00289
Belize,,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00041,0.00042,0.00042,0.00042,0.00041,0.00041,0.00041,0.00082,0.00103,0.0011,0.00107,0.00118,0.00136,0.00136,0.00131,0.00103,0.00104,0.00109,0.00688,0.00842,0.00977,0.01213,0.01341,0.01269,0.01068
Bolivia,,0.14792,0.13575,0.15157,0.1507,0.15659,0.15109,0.14833,0.14822,0.15788,0.16899,0.17032,0.16895,0.17833,0.17348,0.17638,0.19746,0.20112,0.20525,0.21099,0.18601,0.21619,0.27679,0.32105,0.36287,0.50475,0.59087,0.62026,0.65635,0.65736,0.57174,0.63945,0.69589,0.80053
Brazil,,1.90238,1.99755,2.21678,2.53638,3.04125,3.37817,3.40767,3.44631,3.53616,3.7218,3.75862,3.91162,3.96296,4.09494,4.26429,4.4674,4.83357,5.06074,5.47494,5.87916,6.36028,6.15465,6.70199,7.02116,7.14329,7.66444,8.00224,8.31145,8.55701,8.92439,9.46706,9.90643,9.75815
